ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of N2O,0.00107
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e,0.20386
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of CO2,0.20347
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of CH4,0.00028
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of N2O,0.00011
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e,0.18397
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of CO2,0.18362
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of CH4,0.00025
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e of N2O,0.0001
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e,2578.25
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of CO2,2575.7
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of CH4,1.17
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,kg CO2e of N2O,1.39
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e,0.94441
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of CO2,0.94348
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of CH4,0.00043
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,litres,kg CO2e of N2O,0.00051
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e,0.19917
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of CO2,0.19897
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of CH4,0.00009
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),kg CO2e of N2O,0.00011
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e,0.18324
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of CO2,0.18305
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of CH4,0.00008
1,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),kg CO2e of N2O,0.0001
1,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e,2997.55
1,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of CO2,2993.4
1,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of CH4,2.31
1,Scope 1,Fuels,Gaseous fuels,Propane,,,tonnes,kg CO2e of N2O,1.85
1,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e,1.54354
1,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of CO2,1.5414
1,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of CH4,0.00119
1,Scope 1,Fuels,Gaseous fuels,Propane,,,litres,kg CO2e of N2O,0.00095
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e,0.23257
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of CO2,0.23225
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of CH4,0.00018
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of N2O,0.00014
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e,0.21411
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of CO2,0.21381
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of CH4,0.00016
1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of N2O,0.00013
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e,3192.76
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of CO2,3127.67
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of CH4,35.29
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of N2O,29.8
1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e,2.33048
